"CALLE";"NUMERO";"M2";"DOLARES";"U_S_M2";"AMBIENTES";"ANTIGUEDAD";"ORIENT";"BAULERA";"COCHERA";"BA�.OS";"LAVADERO";"TERRAZA";"BARRIO";"COMUNA";"LON";"LAT"
"48";"11 DE SEPTIEMBRE DE 1888";2800;32;91000;2843.8;0;1;"FRENTE";"Si";"No";1;"No";"Si";"BELGRANO";13;-58.4566089115992;-34.5524222321444
"49";"11 DE SEPTIEMBRE DE 1888";2800;37;89000;2405.4;1;NA;"S/D";"Si";"No";0;"No";"No";"BELGRANO";13;-58.4566089115992;-34.5524222321444
"50";"11 DE SEPTIEMBRE DE 1888";2800;47;130000;2766;0;30;"CONTRAFRENTE";"No";"No";1;"Si";"Si";"BELGRANO";13;-58.4566089115992;-34.5524222321444
"51";"11 DE SEPTIEMBRE DE 1888";2800;54;145000;2685.2;3;NA;"CONTRAFRENTE";"No";"Si";1;"No";"Si";"BELGRANO";13;-58.4566089115992;-34.5524222321444
"52";"11 DE SEPTIEMBRE DE 1888";3100;79;162000;2050.6;0;NA;"S/D";"No";"No";2;"No";"No";"NUÑEZ";13;-58.4587020778102;-34.5495644090408
"53";"11 DE SEPTIEMBRE DE 1888";3200;54;170000;3148.1;0;5;"CONTRAFRENTE";"No";"Si";0;"No";"Si";"NUÑEZ";13;-58.4592737161441;-34.548783392555
"54";"11 DE SEPTIEMBRE DE 1888";3200;67;178000;2656.7;0;8;"CONTRAFRENTE";"No";"Si";2;"No";"Si";"NUÑEZ";13;-58.4592737161441;-34.548783392555
"55";"11 DE SEPTIEMBRE DE 1888";3300;45;118000;2622.2;0;NA;"S/D";"No";"No";1;"Si";"Si";"NUÑEZ";13;-58.459834710211;-34.5480168252064
"56";"11 DE SEPTIEMBRE DE 1888";3300;55;85000;1545.5;0;50;"FRENTE";"No";"No";1;"No";"No";"NUÑEZ";13;-58.459834710211;-34.5480168252064
"57";"11 DE SEPTIEMBRE DE 1888";3500;40;120000;3000;0;NA;"CONTRAFRENTE";"No";"No";0;"No";"No";"NUÑEZ";13;-58.4609891062778;-34.5464384761851
"58";"11 DE SEPTIEMBRE DE 1888";3600;33;89000;2697;0;4;"S/D";"No";"No";0;"No";"No";"NUÑEZ";13;-58.4615532270793;-34.5456557404752
"59";"11 DE SEPTIEMBRE DE 1888";3800;41;99900;2436.6;0;NA;"S/D";"No";"Si";1;"No";"No";"NUÑEZ";13;-58.4627232676812;-34.5440573523058
